Bore Name,Bore ID,Basin,GDA94 Lat,GDA94 Long,Heat Flow (mWm-2),Error (± mWm-2),Confidence Rating,Depth logged (m),Source,,,,
Murrabit West 48,82760,Murray,768118.463599865,6066487.75095163,58,6,POOR,118,Taylor & Mather 2015,,,,
Murroon 24,82840,Otway,742070.845901063,5743930.7943137,65,6,POOR,571,Taylor & Mather 2015,,,,
Murroon 25,82841,Otway,742172.301423983,5743933.29468173,60,8,POOR,364,Taylor & Mather 2015,,,,
Naringaningalook 12,83964,Murray,913972.798658862,5999012.02189171,59,9,POOR,117,Taylor & Mather 2015,,,,
Narrawaturk 6,84291,Otway,662115.969296005,5733183.24446912,55,2,GOOD,754,Taylor & Mather 2015,,,,
Navarre Min BR001,Black Range,Bedrock,599774.028140011,5884519.38815256,57,4,MODERATE,257,Taylor & Mather 2015,,,,
Navarre Min BR003 ,Black Range,Bedrock,600017.085745084,5884726.10263235,61,5,MODERATE,178,Taylor & Mather 2015,,,,
Nepean 38,84887,Gippsland,834069.005106108,5743277.92143175,83,3,MODERATE,520,Taylor & Mather 2015,,,,
Nepean Golf Course,S62036-1,Gippsland,839643.079225968,5735114.28051708,92,26,POOR,100,Taylor & Mather 2015,,,,
Ngallo 1,85806,Murray,506304.025782665,6087838.9450849,55,8,POOR,118,Taylor & Mather 2015,,,,
Nirranda 3,85937,Otway,652544.306193957,5740664.75796379,68,6,GOOD,775,Taylor & Mather 2015,,,,
Nirranda 8,85942,Otway,651817.555601794,5735927.18178847,62,8,MODERATE,775,Taylor & Mather 2015,,,,
Olney 7,86774,Murray,497807.970506518,6224197.98393513,55,5,POOR,272,Taylor & Mather 2015,,,,
Ondit 2,86785,Otway,730771.724360395,5778007.55136193,63,12,POOR,176,Taylor & Mather 2015,,,,
Ouyen 15001,86884,Murray,618223.98042875,6117003.03319581,84,13,POOR,224,Taylor & Mather 2015,,,,
Palpara 4,87527,Otway,497417.875489387,5796980.55889226,43,4,POOR,442,Taylor & Mather 2015,,,,
Parupa 7,87762,Otway,670886.035294305,5826729.04513788,73,17,POOR,140,Taylor & Mather 2015,,,,
Pastoria 1,,Bedrock,814904.885057666,5873651.41698433,87,5,POOR,255,Taylor & Mather 2015,,,,
Pental Island 3,87939,Murray,734584.983346149,6083351.9640849,70,11,POOR,84,Taylor & Mather 2015,,,,
Picola 11,88009,Murray,872656.570459736,6012013.87520731,72,9,POOR,217,Taylor & Mather 2015,,,,
Pircarra 20001,112243,Otway,687266.096068761,5785976.33229578,75,16,POOR,143,Taylor & Mather 2015,,,,
Pompapiel 1,88214,Murray,776420.447607722,5964764.79242718,69,11,POOR,96,Taylor & Mather 2015,,,,
Portland 10,88372,Otway,553018.80346171,5751717.61498901,52,3,MODERATE,1200,Taylor & Mather 2015,,,,
Portland 2,88367,Otway,553121.024892805,5757028.84168692,49,7,MODERATE,713,Taylor & Mather 2015,,,,
Portland 8,88370,Otway,552865.787338924,5751426.78078207,56,4,MODERATE,754,Taylor & Mather 2015,,,,
Purrumbete North 11,89048,Otway,699273.381734335,5764027.21083715,100,10,POOR,471,Taylor & Mather 2015,,,,
