Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites
43.6155,-112.0775,1467,50,110,,-2,,1.38,,,-2,
24.15,-108.9167,-3020,,,,214,,0.83,,,177,1
43.6063,-112.055,1449,5,50,,29,1,1.38,,,39,
43.6063,-112.055,1449,50,95,,-4,,1.34,,,-5,
43.2,28.6333,-85,,,2,,,,,,-73,
22.9667,-108.0667,-2900,,,,34,,0.76,,,26,1
21.9833,-107.6833,-3055,,,,296,,0.78,,,231,1
43.5228,-113.2008,1583,20,230,,10,,1.51,,,14,
43.5228,-113.2008,1583,230,245,,3,,1.38,,,4,
21,-107.0667,-3300,,,,211,,0.79,,,167,1
43.493,-113.1337,1547,20,197,,8,,1.51,,,11,
20.9167,-106.4167,-4450,,,,107,,0.84,,,90,1
43.5063,-112.9377,1506,20,160,,16,,1.51,,,24,
43.5063,-112.9377,1506,165,220,,8,,1.38,,,11,
20.1667,-107.7167,-3290,,,,71,,0.74,,,52,1
43.4515,-112.9525,1530,30,170,,25,1,1.46,,,36,
19.75,-108.4667,-2600,,,,79,,0.76,,,60,1
43.5212,-112.8963,1505,170,205,,1,,1.34,,,1,
20.8,-109.5667,-2910,,,,132,,0.76,,,100,1
43.45,-112.7763,1531,20,185,,30,1,1.61,,,44,
22.55,-109.4833,-2860,,,,296,,0.87,,,257,1
43.4907,-112.6842,1637,20,300,,32,3,2.34,,,74,
43.4907,-112.6842,1637,455,538,,42,3,1.58,,,65,
43.4907,-112.6842,1637,300,455,,5,10,1.97,,,10,
43.5383,-112.3212,1551,220,345,,0,,1.34,,,0,
43.5372,-112.0705,1444,25,,,5,,1.34,,,6,
43.5052,-111.9838,1444,20,70,,-25,1,1.51,,,-37,
43.3968,-113.0632,1585,8,106,,9,16,2.76,,,25,
43.3942,-113.1125,1544,200,212,,1,,1.34,,,1,
43.1333,28.7167,-110,,,2,,,,,,-40,
43.4387,-112.9328,1518,10,179,,21,1,1.46,,,30,
43.4425,-112.1813,1424,10,61,,-9,1,1.46,,,-13,
43.1333,38.85,-1539,,,5,,7,,,,26,
43.4245,-112.9917,1416,35,95,,7,1,1.46,,,10,
43.3025,-113.694,1532,10,300,,1,1,1.26,,,1,
43.3387,-112.9475,1564,30,120,,35,,1.46,,,51,
43.3387,-112.9475,1564,120,210,,11,,1.38,,,15,
43.2847,-112.0695,1464,10,80,,112,1,1.55,,,173,
43.2783,-114.025,1460,20,50,,54,3,1.37,,,74,
43.1878,-114.0358,1403,10,90,,2,,1.46,,,7,
43.1445,-113.2425,1518,250,275,,15,,1.38,,,20,
43.1848,-112.5645,1359,10,205,,-7,1,1.42,,,-10,
43.056,-114.3842,1311,20,57,,32,1,1.51,,,47,
43.0348,-114.4082,1341,20,70,,30,1,1.51,,,45,
43.0348,-114.4082,1341,70,110,,0,,1.38,,,0,
43.1098,-113.6503,1377,10,105,,5,,1.38,,,7,
43.1018,-112.6678,1356,40,109,,-7,,1.51,,,-9,
42.9927,-114.7102,1103,37,63,,16,,1.39,,,22,
42.9473,-114.6623,1105,8,54,,45,1,1.88,,,84,
42.9617,-114.4012,1210,10,63,,35,1,1.51,,,52,
43.0192,-114.3623,1301,70,121,,0,,1.51,,,0,
42.9867,-113.7438,1341,15,90,,18,,1.38,,,24,
42.9697,-113.4545,1396,15,150,,24,,1.42,,,33,
42.9697,-113.4545,1396,155,176,,24,,1.34,,,32,
42.9628,-113.1608,1506,20,215,,10,1,1.51,,,14,
42.9628,-113.1608,1506,215,226,,-1,1,1.42,,,-1,
42.907,-114.9097,1000,10,50,,1,,1.42,,,146,
42.907,-114.9097,1000,50,100,,102,,1.38,,,1,
42.8832,-114.7518,1070,68,78,,4,1,1.46,,,5,
42.9183,-114.3723,1213,20,70,,5,3,1.55,,,7,
42.9018,-114.2472,1234,75,140,,9,2,1.37,,,13,
42.8557,-112.8598,1342,15,35,,0,,1.46,,,-1,
42.808,-114.2682,1237,5,75,,3,1,1.34,,,4,
42.8437,-113.609,1306,10,72,,49,,1.51,,,73,
42.8077,-113.3925,1342,20,120,,10,1,1.51,,,14,
42.7875,-112.961,1381,10,70,,1,,1.51,,,27,
42.7875,-112.961,1381,70,89,,10,1,1.42,,,0,
42.7537,-114.8302,976,10,37,,27,,1.38,,,36,
42.7567,-114.2525,1242,10,96,,18,,1.51,,,27,
-5.4306,106.1958,,,1319,,,,,,,,
,,1303,10,70,,31,,1.51,,,46,
,,1303,70,88,,1,,1.38,,,1,
42.6838,-113.4705,1282,10,35,,30,,1.51,,,44,
42.6838,-113.4705,1282,35,50,,1,,1.38,,,2,
42.7348,-113.4045,1320,10,110,,26,1,1.51,,,38,
42.7348,-113.4045,1320,110,145,,12,1,1.38,,,17,
42.6797,-113.0603,1337,60,120,,53,1,1.59,,,84,
42.6797,-113.0603,1337,20,60,,10,,1.38,,,13,
42.6815,-114.8008,976,23,28,,19,,1.38,,,26,
42.6367,-114.5075,1091,45,52,,1,,1.38,,,1,
42.615,-114.1878,1198,10,40,,69,1,1.51,,,102,
42.5207,-114.0067,1265,20,120,,-9,,1.55,,,-13,
42.534,-113.9057,1266,25,129,,-7,,1.55,,,-10,
42.9833,28.4333,-90,,,2,,,,,,-27,
-6.3931,107.8317,,,2456,,41,,1.96,,,80,
41.5,-121.91,1694,266,1194,,115,16,1.88,,,,
41.5,-121.91,1694,1023,1194,,85,6,2.05,,,,
39.56,-122.07,32,183,1460,,18,,,,,,
39.53,-122.07,29,152,945,,19,,,,,,
39.54,-122.08,30,503,1719,,19,16,1.51,,,28,
39.54,-122.09,32,122,1738,,20,,,,,,
42.8417,28.565,-628,,,2,,,,,,27,
-2.1503,115.4092,,,1750,,34,,2.29,,,78,
-1.8742,115.2122,,,2134,,55,,2.21,,,123,
-1.9558,115.2144,,,1524,,27,,2.31,,,63,
42.3333,28.1,-60,,,2,,,,,,-10,
